,tipo_titulo,codigo_selic,index,tipo_correcao,data_validade,vna,data_referencia
3,LFT,210100,10.65,O,2022-02-07,11340.503841,2022-02-08
0,NTN-B,760199,0.54,F,2022-02-09,3806.952118,2022-02-09
1,NTN-B,760100,0.54,F,2022-02-09,3806.952118,2022-02-09
2,NTN-C,770100,1.03,P,2022-02-02,6120.615104,2022-02-09
3,LFT,210100,10.65,O,2022-02-08,11345.059095,2022-02-09
0,NTN-B,760100,0.54,F,2022-02-09,3807.928593,2022-02-10
1,NTN-B,760199,0.54,F,2022-02-09,3807.928593,2022-02-10
2,NTN-C,770100,1.38,P,2022-02-10,6131.72463,2022-02-10
3,LFT,210100,10.65,O,2022-02-09,11349.616178,2022-02-10
0,NTN-B,760100,0.54,F,2022-02-09,3808.905318,2022-02-11
1,NTN-B,760199,0.54,F,2022-02-09,3808.905318,2022-02-11
2,NTN-C,770100,1.38,P,2022-02-10,6136.149344,2022-02-11
3,LFT,210100,10.65,O,2022-02-10,11354.175092,2022-02-11
0,NTN-B,760199,0.54,F,2022-02-09,3809.882294,2022-02-14
1,NTN-B,760100,0.54,F,2022-02-09,3809.882294,2022-02-14
2,NTN-C,770100,1.38,P,2022-02-10,6140.577252,2022-02-14
3,LFT,210100,10.65,O,2022-02-11,11358.735837,2022-02-14
0,NTN-B,760100,0.54,F,2022-02-09,3810.859521,2022-02-15
1,NTN-B,760199,0.54,F,2022-02-09,3810.859521,2022-02-15
2,NTN-C,770100,1.38,P,2022-02-10,6145.008354,2022-02-15
3,LFT,210100,10.65,O,2022-02-14,11363.298414,2022-02-15
0,NTN-B,760100,0.89,P,2022-02-16,3812.735905,2022-02-16
1,NTN-B,760199,0.89,P,2022-02-16,3812.735905,2022-02-16
2,NTN-C,770100,1.38,P,2022-02-10,6149.442654,2022-02-16
3,LFT,210100,10.65,O,2022-02-15,11367.862824,2022-02-16
0,NTN-B,760199,0.89,P,2022-02-16,3814.613214,2022-02-17
1,NTN-B,760100,0.89,P,2022-02-16,3814.613214,2022-02-17
2,NTN-C,770100,1.38,P,2022-02-10,6153.880154,2022-02-17
3,LFT,210100,10.65,O,2022-02-16,11372.429067,2022-02-17
0,NTN-B,760199,0.89,P,2022-02-16,3816.491446,2022-02-18
1,NTN-B,760100,0.89,P,2022-02-16,3816.491446,2022-02-18
2,NTN-C,770100,1.85,P,2022-02-18,6177.840876,2022-02-18
3,LFT,210100,10.65,O,2022-02-17,11376.997144,2022-02-18
0,NTN-B,760199,0.89,P,2022-02-16,3818.370604,2022-02-21
1,NTN-B,760100,0.89,P,2022-02-16,3818.370604,2022-02-21
2,NTN-C,770100,1.85,P,2022-02-18,6183.804054,2022-02-21
3,LFT,210100,10.65,O,2022-02-18,11381.567057,2022-02-21
0,NTN-B,760100,0.89,P,2022-02-16,3820.250687,2022-02-22
1,NTN-B,760199,0.89,P,2022-02-16,3820.250687,2022-02-22
2,NTN-C,770100,1.85,P,2022-02-18,6189.772988,2022-02-22
3,LFT,210100,10.65,O,2022-02-21,11386.138804,2022-02-22
0,NTN-B,760100,0.89,P,2022-02-16,3822.131695,2022-02-23
1,NTN-B,760199,0.89,P,2022-02-16,3822.131695,2022-02-23
2,NTN-C,770100,1.85,P,2022-02-18,6195.747683,2022-02-23
3,LFT,210100,10.65,O,2022-02-22,11390.712389,2022-02-23
0,NTN-B,760199,0.94,P,2022-02-24,3824.750518,2022-02-24
1,NTN-B,760100,0.94,P,2022-02-24,3824.750518,2022-02-24
2,NTN-C,770100,1.85,P,2022-02-18,6201.728145,2022-02-24
3,LFT,210100,10.65,O,2022-02-23,11395.28781,2022-02-24
0,NTN-B,760199,0.94,P,2022-02-24,3826.739075,2022-02-25
1,NTN-B,760100,0.94,P,2022-02-24,3826.739075,2022-02-25
2,NTN-C,770100,1.83,F,2022-02-25,6206.728071,2022-02-25
3,LFT,210100,10.65,O,2022-02-24,11399.865069,2022-02-25
0,NTN-B,760199,0.94,P,2022-02-24,3828.728666,2022-03-02
1,NTN-B,760100,0.94,P,2022-02-24,3828.728666,2022-03-02
2,NTN-C,770100,1.83,F,2022-02-25,6212.66429,2022-03-02
3,LFT,210100,10.65,O,2022-02-25,11404.444167,2022-03-02
0,NTN-B,760100,0.94,P,2022-02-24,3830.719292,2022-03-03
1,NTN-B,760199,0.94,P,2022-02-24,3830.719292,2022-03-03
2,NTN-C,770100,1.07,P,2022-03-03,6215.670579,2022-03-03
3,LFT,210100,10.65,O,2022-03-02,11409.025104,2022-03-03
0,NTN-B,760100,0.94,P,2022-02-24,3832.710952,2022-03-04
1,NTN-B,760199,0.94,P,2022-02-24,3832.710952,2022-03-04
2,NTN-C,770100,1.07,P,2022-03-03,6218.678324,2022-03-04
3,LFT,210100,10.65,O,2022-03-03,11413.607881,2022-03-04
0,NTN-B,760100,0.94,P,2022-02-24,3834.703648,2022-03-07
1,NTN-B,760199,0.94,P,2022-02-24,3834.703648,2022-03-07
2,NTN-C,770100,1.07,P,2022-03-03,6221.687524,2022-03-07
3,LFT,210100,10.65,O,2022-03-04,11418.192499,2022-03-07
0,NTN-B,760199,0.94,P,2022-02-24,3836.69738,2022-03-08
1,NTN-B,760100,0.94,P,2022-02-24,3836.69738,2022-03-08
2,NTN-C,770100,1.07,P,2022-03-03,6224.69818,2022-03-08
3,LFT,210100,10.65,O,2022-03-07,11422.778959,2022-03-08
0,NTN-B,760199,0.94,P,2022-02-24,3838.692149,2022-03-09
1,NTN-B,760100,0.94,P,2022-02-24,3838.692149,2022-03-09
2,NTN-C,770100,1.07,P,2022-03-03,6227.710293,2022-03-09
3,LFT,210100,10.65,O,2022-03-08,11427.367261,2022-03-09
0,NTN-B,760199,0.94,P,2022-02-24,3840.687955,2022-03-10
1,NTN-B,760100,0.94,P,2022-02-24,3840.687955,2022-03-10
2,NTN-C,770100,1.07,P,2022-03-03,6230.723864,2022-03-10
3,LFT,210100,10.65,O,2022-03-09,11431.957406,2022-03-10
0,NTN-B,760199,1.01,F,2022-03-11,3845.055529,2022-03-11
1,NTN-B,760100,1.01,F,2022-03-11,3845.055529,2022-03-11
2,NTN-C,770100,1.07,P,2022-03-11,6233.738893,2022-03-11
3,LFT,210100,10.65,O,2022-03-10,11436.549394,2022-03-11
0,NTN-B,760100,1.01,F,2022-03-11,3847.20294,2022-03-14
1,NTN-B,760199,1.01,F,2022-03-11,3847.20294,2022-03-14
2,NTN-C,770100,1.07,P,2022-03-11,6236.755381,2022-03-14
3,LFT,210100,10.65,O,2022-03-11,11441.143227,2022-03-14
0,NTN-B,760100,1.01,F,2022-03-11,3849.35155,2022-03-15
1,NTN-B,760199,1.01,F,2022-03-11,3849.35155,2022-03-15
2,NTN-C,770100,1.07,P,2022-03-11,6239.773328,2022-03-15
3,LFT,210100,10.65,O,2022-03-14,11445.738906,2022-03-15
0,NTN-B,760100,0.94,P,2022-03-16,3850.917733,2022-03-16
1,NTN-B,760199,0.94,P,2022-03-16,3850.917733,2022-03-16
2,NTN-C,770100,1.07,P,2022-03-11,6242.792736,2022-03-16
3,LFT,210100,10.65,O,2022-03-15,11450.33643,2022-03-16
0,NTN-B,760100,0.94,P,2022-03-16,3852.484554,2022-03-17
1,NTN-B,760199,0.94,P,2022-03-16,3852.484554,2022-03-17
2,NTN-C,770100,1.07,P,2022-03-11,6245.813605,2022-03-17
3,LFT,210100,10.65,O,2022-03-16,11454.935801,2022-03-17
0,NTN-B,760100,0.94,P,2022-03-16,3854.052013,2022-03-18
1,NTN-B,760199,0.94,P,2022-03-16,3854.052013,2022-03-18
2,NTN-C,770100,1.07,P,2022-03-11,6248.835936,2022-03-18
3,LFT,210100,11.65,O,2022-03-17,11459.946076,2022-03-18
0,NTN-B,760100,0.94,P,2022-03-16,3855.620109,2022-03-21
1,NTN-B,760199,0.94,P,2022-03-16,3855.620109,2022-03-21
2,NTN-C,770100,1.38,P,2022-03-21,6263.183659,2022-03-21
3,LFT,210100,11.65,O,2022-03-18,11464.958542,2022-03-21
0,NTN-B,760100,0.94,P,2022-03-16,3857.188843,2022-03-22
1,NTN-B,760199,0.94,P,2022-03-16,3857.188843,2022-03-22
2,NTN-C,770100,1.38,P,2022-03-21,6267.086737,2022-03-22
3,LFT,210100,11.65,O,2022-03-21,11469.9732,2022-03-22
0,NTN-B,760100,0.94,P,2022-03-16,3858.758215,2022-03-23
1,NTN-B,760199,0.94,P,2022-03-16,3858.758215,2022-03-23
2,NTN-C,770100,1.38,P,2022-03-21,6270.992248,2022-03-23
3,LFT,210100,11.65,O,2022-03-22,11474.990051,2022-03-23
0,NTN-B,760100,0.94,P,2022-03-16,3860.328226,2022-03-24
1,NTN-B,760199,0.94,P,2022-03-16,3860.328226,2022-03-24
2,NTN-C,770100,1.38,P,2022-03-21,6274.900193,2022-03-24
3,LFT,210100,11.65,O,2022-03-23,11480.009097,2022-03-24
0,NTN-B,760100,0.94,P,2022-03-16,3861.898876,2022-03-25
1,NTN-B,760199,0.94,P,2022-03-16,3861.898876,2022-03-25
2,NTN-C,770100,1.38,P,2022-03-21,6278.810573,2022-03-25
