,grupo_indexador,b1,b2,b3,b4,l1,l2,data_referencia
1,PREFIXADOS,0.1250227462,-0.0216334202,0.100568815,-0.0864478473,1.6842425681,0.6954151286,2022-02-25
0,IPCA,0.0586452231,-0.0826276829,0.1459591096,-0.0224420302,5.2735870513,0.871669313,2022-03-02
1,PREFIXADOS,0.1256269376,-0.0228671666,0.1064534554,-0.0878306427,1.6672934356,0.6835736388,2022-03-02
0,IPCA,0.058743985,-0.0817306255,0.1387096512,-0.020009005,5.2206207815,0.840784683,2022-03-03
1,PREFIXADOS,0.1271414318,-0.0230884756,0.0995174341,-0.0822733608,1.6197701376,0.5942660542,2022-03-03
0,IPCA,0.0589772017,-0.0789292073,0.1312509958,-0.0170247902,4.9007222534,0.8017794028,2022-03-04
1,PREFIXADOS,0.1257742436,-0.0204968124,0.1088750985,-0.0800446025,1.5524163455,0.6380689863,2022-03-04
0,IPCA,0.05940755,-0.0797617382,0.1366618443,-0.0191879352,4.8246067009,0.9481890472,2022-03-07
1,PREFIXADOS,0.1291500517,-0.0237578566,0.0972788943,-0.0690499489,1.6637109259,0.6381848132,2022-03-07
0,IPCA,0.0598438156,-0.0825801172,0.1323798447,-0.0183799986,5.2219063888,1.0372178406,2022-03-08
1,PREFIXADOS,0.1299619631,-0.0234571302,0.0911014607,-0.0639842106,1.6649823669,0.6906266968,2022-03-08
0,IPCA,0.0598002839,-0.085139083,0.1317239798,-0.01862238,5.862019554,0.8379417564,2022-03-09
1,PREFIXADOS,0.1289037146,-0.022149496,0.0894579803,-0.067951226,1.7095574895,0.6981812648,2022-03-09
0,IPCA,0.0596130178,-0.0852329146,0.1151913449,-0.0135523396,5.9725467062,0.810213734,2022-03-10
1,PREFIXADOS,0.1286853686,-0.0209358729,0.1114160836,-0.08330953,1.5286104732,0.7710702569,2022-03-10
0,IPCA,0.060204874,-0.0905792505,0.1049740083,-0.0115953048,5.7379697091,0.589296992,2022-03-11
1,PREFIXADOS,0.1293589364,-0.0215798787,0.1074926007,-0.0771568653,1.4859911339,0.6894582633,2022-03-11
0,IPCA,0.0606019783,-0.0916448115,0.1125339449,-0.0123941289,5.9998728964,0.6670185961,2022-03-14
1,PREFIXADOS,0.1325530352,-0.0242650181,0.0985660476,-0.0690009205,1.5390775154,0.6705396648,2022-03-14
0,IPCA,0.0606897834,-0.0656189224,0.091115578,-0.0164989396,5.9999613953,0.7211317037,2022-03-15
1,PREFIXADOS,0.1302249997,-0.0220542005,0.0892598197,-0.0621577802,1.6582866303,0.6806056095,2022-03-15
0,IPCA,0.0604798775,-0.0572754192,0.0819822716,-0.0130668491,5.9999167478,0.6120084667,2022-03-16
1,PREFIXADOS,0.1313409893,-0.0219862708,0.1225924352,-0.0974828835,1.3904602,0.7522216761,2022-03-16
0,IPCA,0.0602935896,-0.0476268001,0.0594280627,-0.0156669863,5.9997160379,0.7780259633,2022-03-17
1,PREFIXADOS,0.131246883,-0.020269145,0.0849564647,-0.0711972787,1.533793174,0.6788865322,2022-03-17
0,IPCA,0.0596110295,-0.0481180609,0.0588605677,-0.0173849306,5.9999984212,0.8937834493,2022-03-18
1,PREFIXADOS,0.1277354551,-0.0162774236,0.134155282,-0.115290876,1.3763480696,0.842772812,2022-03-18
0,IPCA,0.0597751523,-0.0520024651,0.0400145032,-0.0125816237,5.9999751576,0.7328261122,2022-03-21
1,PREFIXADOS,0.1277889053,-0.0148542485,0.1086510881,-0.0904359213,1.3570996451,0.7643424582,2022-03-21
0,IPCA,0.0597598112,-0.0531133604,0.0364478116,-0.0149963632,5.9206759284,0.6778002408,2022-03-22
1,PREFIXADOS,0.1290570905,-0.0171006432,0.0971142501,-0.0837038784,1.5012509275,0.7108128283,2022-03-22
0,IPCA,0.0593698708,-0.052807085,0.0445574434,-0.0163897499,4.3399192373,0.6714115596,2022-03-23
1,PREFIXADOS,0.129070889,-0.0185315682,0.0871751948,-0.0714262248,1.6720422183,0.6706935542,2022-03-23
0,IPCA,0.0583139719,-0.0525791067,0.0472442238,-0.0228786259,4.2301646976,0.660891424,2022-03-24
1,PREFIXADOS,0.126736594,-0.015028575,0.0955603282,-0.0843580659,1.6521925999,0.7294887175,2022-03-24
0,IPCA,0.057986917,-0.0523106317,0.0490800495,-0.0266997118,3.6762753182,0.6593397335,2022-03-25
1,PREFIXADOS,0.1266484489,-0.0160602732,0.0976276187,-0.0903465187,1.7818380885,0.7509615015,2022-03-25
0,IPCA,0.0585003854,-0.0795221705,0.0768589567,-0.0268728716,5.9955594971,0.60662587,2022-03-28
1,PREFIXADOS,0.1261482198,-0.0149464947,0.0944746547,-0.0896025706,1.7497436144,0.7158867524,2022-03-28
0,IPCA,0.0584609044,-0.0777030194,0.0851704682,-0.0258253317,5.7403783663,0.6091893976,2022-03-29
1,PREFIXADOS,0.1247953822,-0.0147659246,0.101453562,-0.0916286254,1.7858078498,0.7606893726,2022-03-29
0,IPCA,0.0586603432,-0.075532383,0.0915560175,-0.0248449973,5.405449826,0.6021059756,2022-03-30
1,PREFIXADOS,0.1254969591,-0.0148489078,0.0963874778,-0.0849212163,1.7249494421,0.7198870878,2022-03-30
0,IPCA,0.0586559051,-0.0769806648,0.1042603533,-0.0260580901,5.6617674957,0.5874621171,2022-03-31
1,PREFIXADOS,0.1239515269,-0.0125985502,0.0957149547,-0.0842183227,1.725155652,0.7323337164,2022-03-31
0,IPCA,0.0582922264,-0.0769709172,0.1012859542,-0.0290755383,5.7996933382,0.5512930221,2022-04-01
1,PREFIXADOS,0.1199916415,-0.0092971511,0.0980638759,-0.0811410689,1.8276584493,0.7770573451,2022-04-01
0,IPCA,0.0580524043,-0.0735670503,0.1048072154,-0.0303449825,5.3982888708,0.5592764035,2022-04-04
1,PREFIXADOS,0.1184257578,-0.0073658585,0.0986022381,-0.0799632842,1.7991011176,0.7515426673,2022-04-04
0,IPCA,0.0584959685,-0.0737255966,0.1019621714,-0.0268026637,5.3840669347,0.5153654439,2022-04-05
1,PREFIXADOS,0.1188558755,-0.0073128464,0.098810713,-0.0752546819,1.7565397862,0.7855209622,2022-04-05
0,IPCA,0.0586267634,-0.0752878139,0.0968998073,-0.0256793401,5.5931989691,0.4873717006,2022-04-06
1,PREFIXADOS,0.1196127915,-0.0076642177,0.092613021,-0.068115554,1.7710844051,0.7693168415,2022-04-06
0,IPCA,0.0584054153,-0.0733806547,0.0944922538,-0.0250697226,5.4975372905,0.4805976538,2022-04-07
1,PREFIXADOS,0.1207087233,-0.00743808,0.0820131991,-0.0603822891,1.7923538783,0.7566199907,2022-04-07
0,IPCA,0.0588307496,-0.0929683557,0.1223745321,-0.0241085404,5.5431640071,0.4989494388,2022-04-08
1,PREFIXADOS,0.1222853223,-0.0098761944,0.0887056971,-0.0600406582,1.789583472,0.7576172402,2022-04-08
0,IPCA,0.0599053654,-0.0983640314,0.1316859373,-0.0227274034,5.9309284984,0.4792900624,2022-04-11
1,PREFIXADOS,0.1211294077,-0.0074828486,0.0867735735,-0.0504918528,1.759369466,0.7728648234,2022-04-11
0,IPCA,0.0593895931,-0.0949242205,0.1247336836,-0.0192549008,5.7395357284,0.4736709433,2022-04-12
1,PREFIXADOS,0.1233811029,-0.0098968024,0.0865239312,-0.055067021,1.7581402273,0.7474963281,2022-04-12
0,IPCA,0.0594055283,-0.0951093629,0.117062945,-0.0191530453,5.8571581801,0.4497868148,2022-04-13
1,PREFIXADOS,0.1246615884,-0.0096185839,0.0856106506,-0.0615851989,1.6148090409,0.7031977511,2022-04-13
0,IPCA,0.0594491939,-0.0939631368,0.1039723968,-0.0174341938,5.9969630544,0.4921346769,2022-04-14
1,PREFIXADOS,0.1272570154,-0.0119513537,0.0829770818,-0.0629136235,1.5966939871,0.6870479706,2022-04-14
0,IPCA,0.0599871652,-0.1092884076,0.1119679711,-0.0208306133,5.9995378689,0.4415981363,2022-04-18
1,PREFIXADOS,0.1269343563,-0.0110594674,0.0808310615,-0.0639466346,1.6204692052,0.6900237457,2022-04-18
0,IPCA,0.0603866574,-0.0464954271,0.0380784594,-0.0195989761,5.9999400451,0.3915354728,2022-04-19
1,PREFIXADOS,0.1281625387,-0.0118297549,0.0802136742,-0.0671560804,1.6094916043,0.6916726114,2022-04-19
0,IPCA,0.0602671054,-0.0464588248,0.0349196627,-0.0188258801,5.999942771,0.3860751339,2022-04-20
1,PREFIXADOS,0.1272746663,-0.0106424885,0.07472686,-0.0593230805,1.7077305268,0.6950836098,2022-04-20
0,IPCA,0.0609995668,-0.0303356083,0.0308379344,-0.0217483906,2.401219074,0.3988198512,2022-04-22
1,PREFIXADOS,0.1286984834,-0.0119038538,0.071969055,-0.0578591871,1.7513926053,0.754554347,2022-04-22
0,IPCA,0.0611804218,-0.046754683,0.0307829019,-0.0209464886,5.9995551397,0.3460925549,2022-04-25
1,PREFIXADOS,0.1276767317,-0.0101254173,0.0685193557,-0.0586099356,1.7274685138,0.7218761536,2022-04-25
0,IPCA,0.0618578366,-0.0456780168,0.0239585935,-0.0201659069,5.9992324989,0.3090487149,2022-04-26
1,PREFIXADOS,0.1282350197,-0.0108814335,0.0696777339,-0.0554734692,1.7455817426,0.7521439441,2022-04-26
0,IPCA,0.0615594575,-0.0274333536,0.0223371565,-0.0214209768,2.1146607143,0.3484593271,2022-04-27
1,PREFIXADOS,0.1283161939,-0.010021091,0.0732769321,-0.0640343755,1.7628273469,0.8132197685,2022-04-27
0,IPCA,0.0614090441,-0.0463677276,0.0160799167,-0.0194134028,5.9999737051,0.3257521191,2022-04-28
1,PREFIXADOS,0.1284284704,-0.0094938262,0.0690655411,-0.0609170496,1.7601106691,0.7445746558,2022-04-28
0,IPCA,0.0613108299,-0.0454085726,0.0127137215,-0.0174700293,5.9999478373,0.310473544,2022-04-29
1,PREFIXADOS,0.1285170135,-0.0083703012,0.063222202,-0.0578733077,1.7412871967,0.699635964,2022-04-29
0,IPCA,0.0609076263,-0.0463882405,0.0147098149,-0.0143381067,5.9996744823,0.3240222567,2022-05-02
1,PREFIXADOS,0.1273099071,-0.007077265,0.0676753703,-0.05371165,1.7539881462,0.808201728,2022-05-02
0,IPCA,0.0606622025,-0.0409720677,0.005604694,-0.0135057782,5.9999427478,0.4004096495,2022-05-03
1,PREFIXADOS,0.127215558,-0.0067786526,0.0659709118,-0.0509024974,1.8352029133,0.8161463457,2022-05-03
0,IPCA,0.0599183416,-0.0454931605,0.0120427357,-0.0153575747,5.999998693,0.4598118651,2022-05-04
1,PREFIXADOS,0.1273347673,-0.0071218603,0.0674809851,-0.0562339551,1.8257015381,0.8150783855,2022-05-04
0,IPCA,0.0603294485,-0.0406580529,0.0009477619,-0.0120996339,5.9913482366,0.3850684697,2022-05-05
1,PREFIXADOS,0.1290758572,-0.0084914597,0.0705763916,-0.0541421355,1.8041491278,0.8395920669,2022-05-05
0,IPCA,0.0607956718,-0.0401158542,-0.0006775685,-0.0099518298,5.0453562029,0.3053625196,2022-05-06
1,PREFIXADOS,0.1303125504,-0.0084788881,0.0618283063,-0.0448188628,1.8048103062,0.8085713278,2022-05-06
0,IPCA,0.0606242211,-0.0402880075,0.004440771,-0.0114505083,5.9996351086,0.3830579284,2022-05-09
1,PREFIXADOS,0.1305442006,-0.0081744255,0.0914924927,-0.0783823926,1.5661018168,0.9271413633,2022-05-09
0,IPCA,0.0610224591,-0.037215896,0.011876765,-0.0128306584,5.9998044254,0.4323701068,2022-05-10
1,PREFIXADOS,0.1300707007,-0.0091589708,0.0738851783,-0.0601974437,1.8395198097,0.8585396351,2022-05-10
0,IPCA,0.0610797298,-0.0414245733,0.0060824396,-0.0114850179,5.9998172094,0.4354883356,2022-05-11
1,PREFIXADOS,0.1314107926,-0.0100847136,0.0851103883,-0.0711265675,1.6518662175,0.8681936016,2022-05-11
0,IPCA,0.0607415306,-0.036052362,0.0006673729,-0.0108576644,5.999956106,0.3358270937,2022-05-12
1,PREFIXADOS,0.1311845029,-0.0105228065,0.0742543107,-0.0558808562,1.77455648,0.80051759,2022-05-12
0,IPCA,0.0609795817,-0.0243858277,0.0166969217,-0.0142546054,1.4792196395,0.3205647601,2022-05-13
1,PREFIXADOS,0.1302197302,-0.0089748401,0.0725809505,-0.0523821943,1.7158790346,0.7503724861,2022-05-13
